Variety,Domestication,Fertilization,Rep,P_mg/kg,P_mg/g,P_Content_mg/shoot,Note
Line 1,Modern,Fertilized,5,1052.846354,1.052846354,7.096289711,
Line 1,Modern,Fertilized,6,1222.930672,1.222930672,8.774282985,
Line 1,Modern,Fertilized,7,1043.22151,1.04322151,8.199825391,
Line 1,Modern,Fertilized,8,3053.486468,3.053486468,25.7815023,
Line 1,Modern,Fertilized,9,1243.672175,1.243672175,9.723153431,
Line 1,Modern,Fertilized,10,871.4687648,0.871468765,6.168343064,
Line 2,Modern,Unfertilized,1,847.7846039,0.847784604,5.543833082,
Line 2,Modern,Unfertilized,2,1061.947205,1.061947205,5.936072487,
Line 2,Modern,Unfertilized,3,1337.040911,1.337040911,7.22429945,
Line 2,Modern,Unfertilized,4,977.9587458,0.977958746,5.88731165,
Line 2,Modern,Unfertilized,5,1078.20404,1.07820404,4.0725923,
Line 2,Modern,Unfertilized,6,1310.847627,1.310847627,4.782103228,
Line 2,Modern,Unfertilized,7,759.5761412,0.759576141,4.922433183,
Line 2,Modern,Unfertilized,8,1869.723314,1.869723314,10.37172917,
Line 2,Modern,Unfertilized,9,1403.999231,1.403999231,7.185668064,
Line 2,Modern,Unfertilized,10,1421.762051,1.421762051,7.879120934,
Line 2,Modern,Fertilized,1,1387.151654,1.387151654,9.957390718,
Line 2,Modern,Fertilized,2,2728.439047,2.728439047,19.00466934,
Line 2,Modern,Fertilized,3,1505.886042,1.505886042,12.73708532,
Line 2,Modern,Fertilized,4,1424.235942,1.424235942,11.39858751,
Line 2,Modern,Fertilized,5,1830.462404,1.830462404,12.9924391,
Line 2,Modern,Fertilized,6,3585.030812,3.585030812,35.17058628,
Line 2,Modern,Fertilized,7,2205.064075,2.205064075,22.01403669,
Line 2,Modern,Fertilized,8,1595.715764,1.595715764,14.3837819,
Line 2,Modern,Fertilized,9,871.4687648,0.871468765,7.888709553,
Line 2,Modern,Fertilized,10,3530.688741,3.530688741,33.97052172,
